dataset,precision,recall,f1
adults___0.3.csv,0.87219723658842718,0.84423502506130887,0.85798164598687987
adults_anonymized_k100_emph_age.csv,0.84007298719024937,0.6695404124140506,0.74513731751358003
adults_anonymized_k100_emph_race.csv,0.84694219936618631,0.66759780120006329,0.74663979211552101
adults_anonymized_k100_equal.csv,0.81749140986781899,0.7443751749493992,0.77919987490432419
adults_anonymized_k11_emph_age.csv,0.82602135288073808,0.67830373996956772,0.74489432765365693
adults_anonymized_k11_emph_race.csv,0.82497295944403248,0.67740212253994225,0.74392433952775816
adults_anonymized_k11_equal.csv,0.84847296972515951,0.78103546269181634,0.81334896775797139
adults_anonymized_k15_emph_age.csv,0.83216431737942087,0.67858697856107264,0.7475539874772863
adults_anonymized_k15_emph_race.csv,0.83307695681743321,0.67688079575958537,0.74688670938853752
adults_anonymized_k15_equal.csv,0.84566667268241136,0.77838356624032845,0.81062277834603746
adults_anonymized_k19_emph_age.csv,0.84025736555078812,0.6779230231615061,0.7503731890802976
adults_anonymized_k19_emph_race.csv,0.83632783510781683,0.67778218889510933,0.7487287032060147
adults_anonymized_k19_equal.csv,0.83763154736193679,0.76763113130356131,0.80108682833667777
adults_anonymized_k23_emph_age.csv,0.84719771602019145,0.67948630819086175,0.75411682255021917
adults_anonymized_k23_emph_race.csv,0.8455768461468377,0.67503404784462329,0.7507145456004588
adults_anonymized_k23_equal.csv,0.84204530273924494,0.7708999711109199,0.80489545761066483
adults_anonymized_k27_emph_age.csv,0.84872451520777015,0.67901286820119711,0.75439195950310522
adults_anonymized_k27_emph_race.csv,0.8433024607001508,0.67493840883969958,0.7497397472555043
adults_anonymized_k27_equal.csv,0.83923716157324102,0.76384246748632711,0.79975895372175199
adults_anonymized_k31_emph_age.csv,0.84601143255390576,0.67995934445114337,0.75391909733896711
adults_anonymized_k31_emph_race.csv,0.84567018352935364,0.67673937832852449,0.75182485694726664
adults_anonymized_k31_equal.csv,0.83947615898493311,0.76445842394815045,0.80018579215923591
adults_anonymized_k35_emph_age.csv,0.85520457829473684,0.67588580469546244,0.75500087382776349
adults_anonymized_k35_emph_race.csv,0.84904942794851745,0.67778095527755045,0.75379717589978257
adults_anonymized_k35_equal.csv,0.83948612232950703,0.768437491028236,0.80238141600363233
adults_anonymized_k3_emph_age.csv,0.80075892336616261,0.71581531354521055,0.75589647959909201
adults_anonymized_k3_emph_race.csv,0.79899134764614654,0.71434677034437233,0.75428962631914453
adults_anonymized_k3_equal.csv,0.88573604049693311,0.82565260611802549,0.85462428897933995
adults_anonymized_k7_emph_age.csv,0.81256636562532891,0.68469621158290639,0.74315010843862206
adults_anonymized_k7_emph_race.csv,0.81416185319335121,0.68299081381077453,0.7428069336572467
adults_anonymized_k7_equal.csv,0.86373649887212456,0.79401271568120813,0.82738891090862465
