dataset,precision,recall,f1
adults_anonymized_k03_emph_age.csv,0.59474090143171066,0.54316661816461809,0.56777053454864257
adults_anonymized_k03_emph_race.csv,0.59711931711794819,0.54843853442341328,0.57173770087414566
adults_anonymized_k03_equal.csv,0.64114808375089738,0.59399222267451735,0.61666227527446282
adults_anonymized_k07_emph_age.csv,0.57154205609993891,0.51684189680229364,0.54280589388609624
adults_anonymized_k07_emph_race.csv,0.57209089648412292,0.51952783695223093,0.54453990289632981
adults_anonymized_k07_equal.csv,0.6133869353715482,0.56073866129070549,0.58587551992977205
adults_anonymized_k100_emph_age.csv,0.56160600467410571,0.49545761463114851,0.52644452045797796
adults_anonymized_k100_emph_race.csv,0.58077622702025478,0.50010061244460002,0.5374050883655348
adults_anonymized_k100_equal.csv,0.5671629781570402,0.520323494011389,0.5427327166810989
adults_anonymized_k11_emph_age.csv,0.56621343100432264,0.51206826216426982,0.53776729032494475
adults_anonymized_k11_emph_race.csv,0.56662168609558072,0.51057607685537909,0.53713627151817289
adults_anonymized_k11_equal.csv,0.596533195576185,0.54794115397363652,0.57119887188542884
adults_anonymized_k15_emph_age.csv,0.55883638013798931,0.50248710006690644,0.52915324543566222
adults_anonymized_k15_emph_race.csv,0.55649893504941084,0.50195551907888902,0.52781760110008147
adults_anonymized_k15_equal.csv,0.59617888335182934,0.54419482129998964,0.56899787626549514
adults_anonymized_k19_emph_age.csv,0.55846104885161174,0.50208894733556708,0.52875819857679418
adults_anonymized_k19_emph_race.csv,0.55989434314161868,0.50510630960366931,0.53107644874845461
adults_anonymized_k19_equal.csv,0.58426706127181116,0.53666866975731686,0.55945455180252623
adults_anonymized_k23_emph_age.csv,0.55649688199112768,0.49817594198744686,0.52570337202262718
adults_anonymized_k23_emph_race.csv,0.56536939065983316,0.50487386243646748,0.53336779666413159
adults_anonymized_k23_equal.csv,0.58363275846494977,0.53517725374073888,0.55834881138638803
adults_anonymized_k27_emph_age.csv,0.56253639544847212,0.50192335167033142,0.53048879256321757
adults_anonymized_k27_emph_race.csv,0.55825131181698595,0.50430992721175938,0.52990152714250405
adults_anonymized_k27_equal.csv,0.58354751254259907,0.53428206124621835,0.55782486201822956
adults_anonymized_k31_emph_age.csv,0.5642904459981708,0.50251963014183998,0.53161118250092498
adults_anonymized_k31_emph_race.csv,0.56135584159529939,0.50454173696533089,0.53142181596941984
adults_anonymized_k31_equal.csv,0.58256505855298046,0.53424814644512209,0.55735754839901719
adults_anonymized_k35_emph_age.csv,0.56915302626318198,0.50358059413983891,0.53434615068117175
adults_anonymized_k35_emph_race.csv,0.56725777335588523,0.5049731231245751,0.53429531866378732
adults_anonymized_k35_equal.csv,0.57855602125139782,0.5291760044100231,0.55276173384863103
adults_original_dataset.csv,0.67011065520154822,0.63337981324220216,0.65122234295500936
