dataset,precision,recall,f1
adults_anonymized_k03_emph_age.csv,0.46054192204881461,0.40219540640174295,0.42882820090435769
adults_anonymized_k03_emph_race.csv,0.45522617602477444,0.40123336240525614,0.42614674820042175
adults_anonymized_k03_equal.csv,0.49741054203486168,0.39506635256095213,0.43990104101183514
adults_anonymized_k07_emph_age.csv,0.4470018000385757,0.38826935825195685,0.41483063294060074
adults_anonymized_k07_emph_race.csv,0.46154375568843908,0.38243477060582431,0.41666921498177389
adults_anonymized_k07_equal.csv,0.46705585942982814,0.38266682213697983,0.41850973749757003
adults_anonymized_k100_emph_age.csv,0.44735245182990396,0.41456121984264227,0.4293746604842178
adults_anonymized_k100_emph_race.csv,0.45421378537975104,0.40017273909385287,0.42446540192432219
adults_anonymized_k100_equal.csv,0.42442943418844947,0.3814398998073692,0.40108190444249647
adults_anonymized_k11_emph_age.csv,0.43047267681812496,0.39510023439237785,0.41093881983692943
adults_anonymized_k11_emph_race.csv,0.43789250767634014,0.38833694607656521,0.41061736926752729
adults_anonymized_k11_equal.csv,0.44927204086794426,0.3835290559508498,0.41322191493481464
adults_anonymized_k15_emph_age.csv,0.44097417055470639,0.39960978196937069,0.41808968231062105
adults_anonymized_k15_emph_race.csv,0.43575680254356097,0.39480135333903632,0.41344690999797412
adults_anonymized_k15_equal.csv,0.44430325164456141,0.38011381569866243,0.40934788396255017
adults_anonymized_k19_emph_age.csv,0.42032546650000902,0.40415007925908802,0.41157972787901986
adults_anonymized_k19_emph_race.csv,0.43636698912341043,0.4001719807914304,0.41575935985659962
adults_anonymized_k19_equal.csv,0.43780311732134425,0.37364838637640463,0.40258097505767143
adults_anonymized_k23_emph_age.csv,0.47475104397954038,0.39944341701182245,0.43170484310923951
adults_anonymized_k23_emph_race.csv,0.42900642034865505,0.39950923546411188,0.41278710617972736
adults_anonymized_k23_equal.csv,0.4352706856622296,0.37351602413907398,0.40107686213002181
adults_anonymized_k27_emph_age.csv,0.43363803200789686,0.4134002038844426,0.42254602056436752
adults_anonymized_k27_emph_race.csv,0.43591570800920298,0.4050796701098725,0.4196055383767191
adults_anonymized_k27_equal.csv,0.44340021229733884,0.37298581688732907,0.40429566394493249
adults_original_dataset.csv,0.4632983880723458,0.42517092576197307,0.44320147984172265
