dataset,precision,recall,f1
adults_anonymized_k03_emph_age.csv,0.4789133290064192,0.47470364662140002,0.47679592802109561
adults_anonymized_k03_emph_race.csv,0.48444674682889077,0.48024033131441718,0.48233146261178084
adults_anonymized_k03_equal.csv,0.53081011401955813,0.5269212855709775,0.52885457350622112
adults_anonymized_k07_emph_age.csv,0.5113027228316821,0.49045169767427554,0.50065138361095429
adults_anonymized_k07_emph_race.csv,0.51953102343282187,0.49794387946640128,0.5085052851796853
adults_anonymized_k07_equal.csv,0.54787415078310209,0.53119847389989006,0.53940432344298528
adults_anonymized_k100_emph_age.csv,0.5638737277368121,0.51538382411252237,0.53853628228136119
adults_anonymized_k100_emph_race.csv,0.56535607134272314,0.51594713291349015,0.53950715342731992
adults_anonymized_k100_equal.csv,0.57623458966846375,0.52983837608107553,0.55205770337286986
adults_anonymized_k11_emph_age.csv,0.5313161382595265,0.49950247668165099,0.5149129581242361
adults_anonymized_k11_emph_race.csv,0.53270181927039273,0.50056322088184635,0.51612635244078686
adults_anonymized_k11_equal.csv,0.56144450150005165,0.53646981868439592,0.54866442820106309
adults_anonymized_k15_emph_age.csv,0.54426523666440763,0.50692970822281169,0.52493064491311192
adults_anonymized_k15_emph_race.csv,0.53438805364079001,0.4990053380094584,0.51608200905950452
adults_anonymized_k15_equal.csv,0.57256226615602757,0.54134308766679351,0.55651354871800218
adults_anonymized_k19_emph_age.csv,0.54489196727655487,0.50732710265172865,0.52543146803381313
adults_anonymized_k19_emph_race.csv,0.55367588929474043,0.51521841527542001,0.53374512595583723
adults_anonymized_k19_equal.csv,0.57082164419272208,0.53613809983919603,0.55293418726935273
adults_anonymized_k23_emph_age.csv,0.55004619429999635,0.51143825571979817,0.53003856228200885
adults_anonymized_k23_emph_race.csv,0.54875116553448455,0.5100128230038623,0.52866722821846934
adults_anonymized_k23_equal.csv,0.57477015827385203,0.53620375344313254,0.55481058454181331
adults_anonymized_k27_emph_age.csv,0.54934968814035723,0.50858630228879842,0.52817247189038263
adults_anonymized_k27_emph_race.csv,0.55743798932030952,0.51704126440005305,0.53647069580236895
adults_anonymized_k27_equal.csv,0.57438466862247795,0.5369009081166054,0.55500155113126604
adults_original_dataset.csv,0.61701996730568343,0.60317655082736288,0.61001863280170543
