dataset,precision,recall,F1 score
adults_anonymized_k03_emph_age.csv,0.71350102379145663,0.45809018185685241,0.55780578228975597
adults_anonymized_k03_emph_race.csv,0.70926262237212045,0.4585097005044525,0.55689055888315198
adults_anonymized_k03_equal.csv,0.70961984242460996,0.50682872303016602,0.59122399377089985
adults_anonymized_k07_emph_age.csv,0.68876054257475627,0.3778782850922543,0.48794053829019352
adults_anonymized_k07_emph_race.csv,0.68495428427661387,0.3849267801939284,0.49281151024988834
adults_anonymized_k07_equal.csv,0.70065130401161335,0.44052774575107073,0.54088170802508784
adults_anonymized_k11_emph_age.csv,0.67852526690441706,0.36266390199760262,0.47253974981990571
adults_anonymized_k11_emph_race.csv,0.66743298676326579,0.36622452138754469,0.47281122835816525
adults_anonymized_k11_equal.csv,0.68306761060404075,0.39366136403094004,0.49943967922007593
adults_anonymized_k15_emph_age.csv,0.67042824638865794,0.35481637686804435,0.4638808832256861
adults_anonymized_k15_emph_race.csv,0.6607858882960167,0.36336772251972943,0.46881323343432568
adults_anonymized_k15_equal.csv,0.68856380220543922,0.36019420950182224,0.47277306129040131
adults_anonymized_k19_emph_age.csv,0.66603983823637392,0.34916313696041473,0.45804753804766818
adults_anonymized_k19_emph_race.csv,0.66024021874195782,0.34505832646674367,0.45316635663303789
adults_anonymized_k19_equal.csv,0.66268423433714108,0.35460803883323039,0.46194842568345457
adults_capital-gain_2000_0.2.csv,0.73119368021581554,0.59574829368588822,0.6565031470716256
adults_capital-gain_2000_0.4.csv,0.71805709857487821,0.58052041844969149,0.64195899738073137
adults_capital-gain_2000_0.6.csv,0.70608586393876793,0.56356217487426652,0.6266280131785058
adults_capital-gain_2000_0.8.csv,0.6907990876240826,0.54842229533722087,0.6113692353827338
adults_capital-gain_2000_1.csv,0.67615189205963144,0.53228931263650925,0.5955674931680679
adults_education-num_10_0.2.csv,0.73221758924799929,0.57871740458261101,0.64642450918295558
adults_education-num_10_0.4.csv,0.72634081460518607,0.55144458259638385,0.62678364442282164
adults_education-num_10_0.6.csv,0.72315234306975873,0.49987441353861051,0.5909279350836808
adults_education-num_10_0.8.csv,0.695920896077171,0.43984753425978329,0.53885696378677306
adults_education-num_10_1.csv,0.64801300652575722,0.35768651565070231,0.46065239152716791
adults_marital-status_Married-civ-spouse_0.2.csv,0.72101581242225599,0.5905635645500904,0.64925896008938933
adults_marital-status_Married-civ-spouse_0.4.csv,0.73451271215580582,0.58002327242469254,0.64808391985410641
adults_marital-status_Married-civ-spouse_0.6.csv,0.73877468673912117,0.55038960942789594,0.63072348048890658
adults_marital-status_Married-civ-spouse_0.8.csv,0.73516080412316032,0.50524938118258922,0.59869322949146397
adults_marital-status_Married-civ-spouse_1.csv,0.75864620865859089,0.3382384271713707,0.46689675287632221
adults_marital-status_Never-married_0.2.csv,0.7365242280359946,0.61408643132021312,0.66971949528162045
adults_marital-status_Never-married_0.4.csv,0.72961940029255457,0.61573685703881342,0.66776547236435346
adults_marital-status_Never-married_0.6.csv,0.7342484095474171,0.62709467402088048,0.67632382681994985
adults_marital-status_Never-married_0.8.csv,0.73309357955565291,0.6287914653490343,0.67689977506270504
adults_marital-status_Never-married_1.csv,0.73368823370920333,0.63265353031417948,0.67932713685814627
adults_occupation_Other-service_0.2.csv,0.7306221291469962,0.60387608221953648,0.66112046329167407
adults_occupation_Other-service_0.4.csv,0.73448581290032044,0.6202646550302533,0.67246485710747328
adults_occupation_Other-service_0.6.csv,0.73720443106296429,0.61204498961507536,0.66862118116694691
adults_occupation_Other-service_0.8.csv,0.73194959492275069,0.61729579679904689,0.6696605952571153
adults_occupation_Other-service_1.csv,0.73625640252569946,0.61937783882335939,0.67266748399482412
adults_original_dataset.csv,0.74320884029773171,0.61167482342463497,0.67099037484201518
adults_relationship_Own-child_0.2.csv,0.73285432809823781,0.61297236770283237,0.66744396698181596
adults_relationship_Own-child_0.4.csv,0.74005112208836166,0.61221461300413282,0.67002770034820069
adults_relationship_Own-child_0.6.csv,0.72812268374811173,0.61213094173313709,0.66502102158168053
adults_relationship_Own-child_0.8.csv,0.73667986664553042,0.61501691713718665,0.67032577816276473
adults_relationship_Own-child_1.csv,0.73530916450696038,0.61190891207050968,0.66787727310493405
