dataset,precision,recall,F1 score
adults_anonymized_k03_emph_age.csv,0.56340718265307121,0.49750165253746009,0.52836162681449872
adults_anonymized_k03_emph_race.csv,0.55780767561971323,0.50574811101713357,0.53039041853792035
adults_anonymized_k03_equal.csv,0.58878352782507526,0.53320803724776611,0.55948867533701341
adults_anonymized_k07_emph_age.csv,0.59837275092697007,0.46290533595079841,0.5218834779313285
adults_anonymized_k07_emph_race.csv,0.5840015773084456,0.46054392112467968,0.51486489781642764
adults_anonymized_k07_equal.csv,0.60888838811828783,0.50145376863787927,0.54975188427920774
adults_anonymized_k11_emph_age.csv,0.63009432765213147,0.44608740685726433,0.52217595607623801
adults_anonymized_k11_emph_race.csv,0.62347243860291912,0.45453379973666913,0.5256208044989914
adults_anonymized_k11_equal.csv,0.64180392340538339,0.47390359348452105,0.54508621401135404
adults_anonymized_k15_emph_age.csv,0.62928295316148619,0.43633140086904942,0.51515368576538934
adults_anonymized_k15_emph_race.csv,0.65022310520619064,0.43670371682887321,0.52239863875106074
adults_anonymized_k15_equal.csv,0.64263783974865563,0.46292657996367287,0.53803078699000562
adults_anonymized_k19_emph_age.csv,0.64955109162067115,0.44156502192421987,0.52553675239317632
adults_anonymized_k19_emph_race.csv,0.64322335691504195,0.4209631438587193,0.50878928080798724
adults_anonymized_k19_equal.csv,0.65055565902429069,0.46282764363662715,0.54076867386974148
adults_capital-gain_2000_0.2.csv,0.71851664206589327,0.61613262488022091,0.66328103391182713
adults_capital-gain_2000_0.4.csv,0.70411821944615749,0.5895865647797679,0.64173021071203318
adults_capital-gain_2000_0.6.csv,0.69338548044116566,0.58101115647037926,0.6321116363051742
adults_capital-gain_2000_0.8.csv,0.67367574213971138,0.57313937227410006,0.61927409188880211
adults_capital-gain_2000_1.csv,0.66107807350355174,0.55692990274296106,0.60447163370623647
adults_education-num_10_0.2.csv,0.71905036466044392,0.6049890614257567,0.65692879043813357
adults_education-num_10_0.4.csv,0.71889987293394864,0.58912645727120205,0.64749411686387537
adults_education-num_10_0.6.csv,0.70457709910881294,0.5501944776663773,0.61777027138630225
adults_education-num_10_0.8.csv,0.68086516206406933,0.51486945755795621,0.58630306196847415
adults_education-num_10_1.csv,0.63015627336037705,0.44416110397528535,0.52094930185343513
adults_marital-status_Married-civ-spouse_0.2.csv,0.73313331246988289,0.62382840363328296,0.67382820850565373
adults_marital-status_Married-civ-spouse_0.4.csv,0.71635318854002816,0.59646088551809651,0.65083982056664758
adults_marital-status_Married-civ-spouse_0.6.csv,0.71690821232670177,0.58659531889923555,0.64501537280711407
adults_marital-status_Married-civ-spouse_0.8.csv,0.7246000083901839,0.54415086004982083,0.62142259715406245
adults_marital-status_Married-civ-spouse_1.csv,0.74650453872230593,0.40145838038407183,0.52164564772113686
adults_marital-status_Never-married_0.2.csv,0.7316882815853526,0.64086457107744954,0.68305455250941871
adults_marital-status_Never-married_0.4.csv,0.73225092463985086,0.63721106437456343,0.68129465170907733
adults_marital-status_Never-married_0.6.csv,0.73523904136685359,0.64652524480905704,0.68790919276325768
adults_marital-status_Never-married_0.8.csv,0.73688349788556129,0.63874382575341238,0.68418944675144067
adults_marital-status_Never-married_1.csv,0.73557390757446806,0.64182708964937274,0.68543941165248623
adults_occupation_Other-service_0.2.csv,0.7378979614724861,0.63350582991491877,0.68167116342009393
adults_occupation_Other-service_0.4.csv,0.73200413366418182,0.63619595273996299,0.68063353581028074
adults_occupation_Other-service_0.6.csv,0.72743423580641009,0.62964653548826777,0.67495141746521203
adults_occupation_Other-service_0.8.csv,0.73296890065036013,0.63900541654039467,0.68256193700116252
adults_occupation_Other-service_1.csv,0.72969460317644885,0.63675355477225781,0.67996366889653137
adults_original_dataset.csv,0.73325999712715606,0.63844334537189051,0.68247820162632711
adults_relationship_Own-child_0.2.csv,0.73555980074990035,0.63031943147146807,0.67886283577301199
adults_relationship_Own-child_0.4.csv,0.73455356096731728,0.62662559130669782,0.67627686174009261
adults_relationship_Own-child_0.6.csv,0.73497761318529775,0.62963468960742108,0.67820699442093668
adults_relationship_Own-child_0.8.csv,0.73711718385959946,0.63688548434611625,0.68317638097301259
adults_relationship_Own-child_1.csv,0.74053971121005968,0.63454318123740328,0.68338880493548138
