dataset,precision,recall,F1 score
adults_anonymized_k03_emph_age.csv,0.72105666757833775,0.48532868006245955,0.57999759426305963
adults_anonymized_k03_emph_race.csv,0.71584730443236033,0.49905677747613775,0.58786605047708984
adults_anonymized_k03_equal.csv,0.71403759998539829,0.54685463904578568,0.61924255224172065
adults_anonymized_k07_emph_age.csv,0.68545658313106228,0.45471241678351787,0.54666801264428977
adults_anonymized_k07_emph_race.csv,0.6867291522686525,0.44416794785167957,0.53926383472356376
adults_anonymized_k07_equal.csv,0.69663344199894628,0.49269222397781187,0.57714608862018768
adults_anonymized_k11_emph_age.csv,0.67744234868124897,0.43920089584275085,0.53283647947419299
adults_anonymized_k11_emph_race.csv,0.66838721407321522,0.45542295004758399,0.54157176188694278
adults_anonymized_k11_equal.csv,0.69525881150449687,0.46381516039832427,0.55635686211127355
adults_anonymized_k15_emph_age.csv,0.67907251650060818,0.44149505756345714,0.53499342128097238
adults_anonymized_k15_emph_race.csv,0.67658132308212504,0.4354460533292131,0.52972819915560532
adults_anonymized_k15_equal.csv,0.67975487303748561,0.4565670332523436,0.54617938810872113
adults_anonymized_k19_emph_age.csv,0.687628605255175,0.43576052157355549,0.53334532573804405
adults_anonymized_k19_emph_race.csv,0.6813957182715944,0.42994143494611325,0.52703815269488929
adults_anonymized_k19_equal.csv,0.68500004076047527,0.45218926969583662,0.54466044491314891
adults_capital-gain_2000_0.2.csv,0.77294894834382166,0.63151757077302073,0.69503177192837184
adults_capital-gain_2000_0.4.csv,0.76442360495882766,0.62649715710518561,0.68856711095399248
adults_capital-gain_2000_0.6.csv,0.73831348933341501,0.60268127837846097,0.66349733868984662
adults_capital-gain_2000_0.8.csv,0.72893822046052992,0.58005347618859049,0.64587774224668637
adults_capital-gain_2000_1.csv,0.71865832943552277,0.5709094039892384,0.63623616061503541
adults_education-num_10_0.2.csv,0.78435513353268527,0.62786754334175521,0.69730608936749083
adults_education-num_10_0.4.csv,0.7849162916640865,0.60278357730627619,0.68182098023332782
adults_education-num_10_0.6.csv,0.77756044574622196,0.56127310499532268,0.65187208247436224
adults_education-num_10_0.8.csv,0.77729678757763032,0.50437024259293006,0.61168255658973236
adults_education-num_10_1.csv,0.7603414668256101,0.4146601909509583,0.53648253285417469
adults_marital-status_Married-civ-spouse_0.2.csv,0.78192477502046154,0.6323676707936674,0.69915744042736006
adults_marital-status_Married-civ-spouse_0.4.csv,0.77831846030909246,0.62037724464562705,0.69021006380283589
adults_marital-status_Married-civ-spouse_0.6.csv,0.77678330471160872,0.60271477955788555,0.67829341815845379
adults_marital-status_Married-civ-spouse_0.8.csv,0.79570592917526095,0.55934985081303379,0.65663370920237629
adults_marital-status_Married-civ-spouse_1.csv,0.79465437273894135,0.44036946146121536,0.56587583114782092
adults_marital-status_Never-married_0.2.csv,0.78231084935117789,0.64381614505320073,0.70621365251120927
adults_marital-status_Never-married_0.4.csv,0.78255348177787742,0.65147256423579691,0.71093637689241318
adults_marital-status_Never-married_0.6.csv,0.78867065385556323,0.65846762927891422,0.71763512907871196
adults_marital-status_Never-married_0.8.csv,0.77948577061516433,0.65886353028579703,0.71396624857799262
adults_marital-status_Never-married_1.csv,0.78432270653691183,0.65884503952282403,0.71611041666756414
adults_occupation_Other-service_0.2.csv,0.78244207873867444,0.64095357272924036,0.70448911061176245
adults_occupation_Other-service_0.4.csv,0.78155935578924163,0.64549748628313863,0.70698268098676476
adults_occupation_Other-service_0.6.csv,0.78309718655765181,0.65866174096333086,0.71544087884777074
adults_occupation_Other-service_0.8.csv,0.77879704402705585,0.65529594351028386,0.71161346961473226
adults_occupation_Other-service_1.csv,0.78561336244886459,0.65251200150582978,0.71283595549999745
adults_original_dataset.csv,0.78822574561088254,0.65445180298117211,0.71503710052307246
adults_relationship_Own-child_0.2.csv,0.78573224511887307,0.64928870877375422,0.71087306554253438
adults_relationship_Own-child_0.4.csv,0.78783398448875874,0.64911369585102008,0.71169636892521893
adults_relationship_Own-child_0.6.csv,0.78661126797095715,0.65256070062482918,0.71330247253306278
adults_relationship_Own-child_0.8.csv,0.78754697038552834,0.66058388689342784,0.7183236412448345
adults_relationship_Own-child_1.csv,0.77850149288380099,0.64763829900776093,0.707034529404728
