weight_category,k-factor,f1_score
bias,100,0.7197513306
bias,20,0.795480080971
bias,200,0.688825117331
bias,5,0.812636898422
bias,50,0.775721976267
iml,10,0.695254908207
iml,100,0.640797404105
iml,20,0.684299204827
iml,200,0.606631320359
iml,5,0.709606945816
iml,50,0.685408247671
bias,10,0.718976268225
bias,100,0.649159036424
bias,20,0.690917422875
bias,200,0.604817696203
bias,5,0.743532943813
bias,50,0.672165584971
iml,10,0.714329792394
iml,100,0.65533468569
iml,20,0.701821974364
iml,200,0.604749827531
iml,5,0.739038849446
iml,50,0.686739252006
equal,10,0.697138973177
equal,100,0.678556885675
equal,20,0.697285805091
equal,200,0.615135869566
equal,5,0.7304952566
equal,50,0.683562874919
