dataset,precision,recall,F1 score,accuracy
adults_anonymized_k03_emph_age.csv,0,[0.55150214592274682],[0.52772073921971252],[0.53934942287513121],[0.78170064644455495]
adults_anonymized_k03_emph_age.csv,1,"[0.55150214592274682, 0.56698044895003619]","[0.52772073921971252, 0.53374233128834359]","[0.53934942287513121, 0.54985955056179769]","[0.78170064644455495, 0.78750207193767607]"
adults_anonymized_k03_emph_age.csv,2,"[0.55150214592274682, 0.56698044895003619, 0.56230769230769229]","[0.52772073921971252, 0.53374233128834359, 0.48346560846560849]","[0.53934942287513121, 0.54985955056179769, 0.51991465149359883]","[0.78170064644455495, 0.78750207193767607, 0.77623073097961215]"
