dataset,precision,recall,F1 score
adults_anonymized_k03_emph_age.csv,0.52707080055529842,0.7593333333333333,0.62223436219612116
adults_anonymized_k03_emph_race.csv,0.53446732318710832,0.77081988379599742,0.63124504361617761
adults_anonymized_k03_equal.csv,0.52916491817037348,0.82905982905982911,0.64600409836065587
adults_anonymized_k07_emph_age.csv,0.49727024567788897,0.72915276851234156,0.59129023532593994
adults_anonymized_k07_emph_race.csv,0.49197615772581382,0.73543522960932151,0.58956043956043958
adults_anonymized_k07_equal.csv,0.48650963597430408,0.78615916955017306,0.60105820105820107
adults_anonymized_k11_emph_age.csv,0.47349823321554768,0.72139973082099595,0.57173333333333332
adults_anonymized_k11_emph_race.csv,0.48844308765808986,0.73298429319371727,0.58623397016487822
adults_anonymized_k11_equal.csv,0.48145025295109611,0.76184122748498995,0.59002841642986303
adults_anonymized_k15_emph_age.csv,0.48711832061068705,0.70171821305841919,0.57504928189242466
adults_anonymized_k15_emph_race.csv,0.50382366171839854,0.73059360730593603,0.59637912673056448
adults_anonymized_k15_equal.csv,0.50177147918511955,0.73571428571428577,0.59662980516061082
adults_anonymized_k19_emph_age.csv,0.49347014925373134,0.70674682698730795,0.58115902224663563
adults_anonymized_k19_emph_race.csv,0.48304347826086957,0.71816418875242405,0.57759292955549779
adults_anonymized_k19_equal.csv,0.48544917756221001,0.75130548302872058,0.58980271585959509
adults_capital-gain_2000_0.2.csv,0.5572450805008945,0.85109289617486339,0.67351351351351341
adults_capital-gain_2000_0.4.csv,0.54157096922370229,0.84274481772694787,0.65939597315436238
adults_capital-gain_2000_0.6.csv,0.51167133520074692,0.83409436834094364,0.6342592592592593
adults_capital-gain_2000_0.8.csv,0.50118877793628147,0.84794851166532581,0.63000597728631191
adults_capital-gain_2000_1.csv,0.50049067713444551,0.84788029925187036,0.62943535945695772
adults_education-num_10_0.2.csv,0.54303086997193639,0.86319702602230486,0.66666666666666663
adults_education-num_10_0.4.csv,0.51724137931034486,0.86414445399828033,0.647134578235673
adults_education-num_10_0.6.csv,0.47484454494064443,0.86242299794661192,0.61246810061975943
adults_education-num_10_0.8.csv,0.45923566878980893,0.8562945368171021,0.5978441127694859
adults_education-num_10_1.csv,0.39533239038189533,0.86265432098765427,0.54219204655674103
adults_marital-status_Married-civ-spouse_0.2.csv,0.53055983564458142,0.87320371935756547,0.66006389776357821
adults_marital-status_Married-civ-spouse_0.4.csv,0.54871794871794877,0.8542914171656687,0.66822794691647147
adults_marital-status_Married-civ-spouse_0.6.csv,0.53292361720807724,0.83036935704514359,0.64919786096256682
adults_marital-status_Married-civ-spouse_0.8.csv,0.42413793103448277,0.79354838709677422,0.55280898876404505
adults_marital-status_Married-civ-spouse_1.csv,0.28892733564013839,0.74222222222222223,0.41594022415940224
adults_marital-status_Never-married_0.2.csv,0.5714285714285714,0.84138869979577946,0.68061674008810569
adults_marital-status_Never-married_0.4.csv,0.59723593287265553,0.83505866114561766,0.69640287769784182
adults_marital-status_Never-married_0.6.csv,0.60209685471792307,0.81929347826086951,0.69410071942446028
adults_marital-status_Never-married_0.8.csv,0.6470588235294118,0.80816326530612248,0.7186932849364791
adults_marital-status_Never-married_1.csv,0.64486517498565687,0.79829545454545459,0.71342430974293869
adults_occupation_Other-service_0.2.csv,0.56963162623539987,0.84986595174262736,0.68208714362560519
adults_occupation_Other-service_0.4.csv,0.57646520146520142,0.8547182620502376,0.68854252119223402
adults_occupation_Other-service_0.6.csv,0.5559982293050022,0.83901135604542421,0.66879659211927589
adults_occupation_Other-service_0.8.csv,0.57070938215102973,0.85061391541609821,0.68310052040536839
adults_occupation_Other-service_1.csv,0.59740259740259738,0.83286908077994426,0.69575334496800467
adults_original_dataset.csv,0.5535714285714286,0.85433070866141736,0.67182662538699689
adults_relationship_Own-child_0.2.csv,0.57077416399450298,0.8401888064733648,0.67975995635570097
adults_relationship_Own-child_0.4.csv,0.56187443130118286,0.83502366463826905,0.67174326896926839
adults_relationship_Own-child_0.6.csv,0.58652946679139384,0.83991962491627592,0.6907188102451115
adults_relationship_Own-child_0.8.csv,0.57170080990948069,0.82872928176795579,0.67662813645334097
adults_relationship_Own-child_1.csv,0.57777777777777772,0.82456140350877194,0.67945510147345001
