dataset,precision,recall,F1 score,accuracy
adults_anonymized_k03_emph_age.csv,0.5640569590087815,0.49919234011671365,0.52942703278782832,0.77919774573180844
adults_anonymized_k03_emph_race.csv,0.5652642544494435,0.49746465039149862,0.52899918391933909,0.77865075418531415
adults_anonymized_k03_equal.csv,0.59211522367578806,0.53734986323258283,0.56329797808593318,0.79128128625890937
adults_anonymized_k07_emph_age.csv,0.59264594620167343,0.47219167689890418,0.52553243626185131,0.7886457815348914
adults_anonymized_k07_emph_race.csv,0.579818814242964,0.46577897882892383,0.51641212533258618,0.784700812199569
adults_anonymized_k07_equal.csv,0.61249833026223688,0.49880850188858245,0.54966977543823836,0.79557434112381897
adults_anonymized_k11_emph_age.csv,0.62285238098260909,0.44468356320508057,0.51872950230277015,0.79390021548151835
adults_anonymized_k11_emph_race.csv,0.62255038541646124,0.46011635341265344,0.52900724155977075,0.79708271175203049
adults_anonymized_k11_equal.csv,0.63239135338202357,0.47652391590605025,0.54330595221170785,0.80145864412398482
adults_anonymized_k15_emph_age.csv,0.63220242023298012,0.43283641753767954,0.51374062501017759,0.7958229736449528
adults_anonymized_k15_emph_race.csv,0.64491094072227784,0.44011429634848265,0.52308924872441942,0.80117686060003312
adults_anonymized_k15_equal.csv,0.64346365081800128,0.45453552590345303,0.53260245907943848,0.80374606331841547
adults_anonymized_k19_emph_age.csv,0.6516048218766608,0.43621877128556702,0.52250508412994978,0.80135919111553133
adults_anonymized_k19_emph_race.csv,0.63963980136461862,0.41110937524837576,0.50039778941090729,0.7950107740759158
adults_anonymized_k19_equal.csv,0.65215221785183553,0.45596961301487404,0.5364898609472698,0.80533731145367149
adults_original_dataset.csv,0.72711472910724628,0.6279945991537923,0.67389340161512901,0.8500745897563402
