dataset,precision,recall,f1
adults_anonymized_k03_emph_age.csv,0.52497244440809854,0.45570562128486769,0.48759032931155522
adults_anonymized_k03_emph_race.csv,0.51900872017351962,0.44443377448217836,0.47810498915532368
adults_anonymized_k03_equal.csv,0.54032000652283263,0.46382944701510187,0.49885713311231028
adults_anonymized_k07_emph_age.csv,0.52525153501704858,0.45199339024045004,0.4857060286372944
adults_anonymized_k07_emph_race.csv,0.50962089929406629,0.44950686164783293,0.47760952917874233
adults_anonymized_k07_equal.csv,0.51948752260048447,0.45504230448325966,0.48475552231688485
adults_anonymized_k100_emph_age.csv,0.51387025459347702,0.44907438748946066,0.47918864567670488
adults_anonymized_k100_emph_race.csv,0.51381096423383277,0.43644286048378378,0.47118814937346426
adults_anonymized_k100_equal.csv,0.48526354304925751,0.41989831714009646,0.44960568143699603
adults_anonymized_k11_emph_age.csv,0.52886898888097944,0.44864371567307809,0.48533558776666147
adults_anonymized_k11_emph_race.csv,0.52885572513456058,0.44963776222976959,0.48574407073857123
adults_anonymized_k11_equal.csv,0.51897046735738706,0.4512956970623585,0.48262467458124353
adults_anonymized_k15_emph_age.csv,0.53839305150837868,0.45255666607174733,0.49153376439667706
adults_anonymized_k15_emph_race.csv,0.50855641468375579,0.44672158388055661,0.47549126761554905
adults_anonymized_k15_equal.csv,0.50214321139825313,0.44499611617281032,0.47157244711272089
adults_anonymized_k19_emph_age.csv,0.52617847026292996,0.44277635617442801,0.48062000118174852
adults_anonymized_k19_emph_race.csv,0.51247371554803212,0.44516228331233532,0.47595179376306274
adults_anonymized_k19_equal.csv,0.53292601998486799,0.44416714875651592,0.48370007535043885
adults_anonymized_k23_emph_age.csv,0.53476921424259949,0.45971842582571443,0.49419838734960109
adults_anonymized_k23_emph_race.csv,0.52421026750717359,0.43458728346619369,0.4745200392151353
adults_anonymized_k23_equal.csv,0.4929115110963459,0.43584651607293418,0.46249387951043347
adults_anonymized_k27_emph_age.csv,0.52327198858936907,0.45080004202534002,0.48424068191513497
adults_anonymized_k27_emph_race.csv,0.51747640997342736,0.44280988632936785,0.47688573805151463
adults_anonymized_k27_equal.csv,0.52005895258526924,0.43316045503420486,0.47205311513405473
adults_anonymized_k31_emph_age.csv,0.51451017586161485,0.44052072517449747,0.47443011070116087
adults_anonymized_k31_emph_race.csv,0.51020100666950574,0.43415566651925569,0.46841950893841899
adults_anonymized_k31_equal.csv,0.52599361610293538,0.43677476615711675,0.47647757876753855
adults_anonymized_k35_emph_age.csv,0.51931676069494248,0.4460247369240089,0.4795414304978638
adults_anonymized_k35_emph_race.csv,0.54379648890732946,0.43243164947701301,0.48083381040242701
adults_anonymized_k35_equal.csv,0.48536153234461477,0.42281673742690618,0.45149809302384758
adults_original_dataset.csv,0.53902278640142265,0.46833714829054457,0.50100162878146048
