dataset,precision,recall,f1
adults_anonymized_k03_emph_age.csv,0.8644804522053029,0.28631568547461816,0.39238641699315202
adults_anonymized_k03_emph_race.csv,0.89071316771617359,0.35545007336850681,0.49603929534840729
adults_anonymized_k03_equal.csv,0.90383984243771298,0.28715193918810206,0.38850202538998835
adults_anonymized_k07_emph_age.csv,0.90803490142790333,0.34718879708178851,0.4824575371154845
adults_anonymized_k07_emph_race.csv,0.91782039694588868,0.3586329873422841,0.50931743970929921
adults_anonymized_k07_equal.csv,0.79780792277097723,0.28927887857402218,0.40899878294908076
adults_anonymized_k100_emph_age.csv,0.93854972285215721,0.34029227832732112,0.47918163450955975
adults_anonymized_k100_emph_race.csv,0.86399320082039122,0.36479339226258978,0.47461249389431331
adults_anonymized_k100_equal.csv,0.87337964841420468,0.37759435040517531,0.51890449540615768
adults_anonymized_k11_emph_age.csv,0.90728944528698996,0.32228750827538732,0.45311801440960797
adults_anonymized_k11_emph_race.csv,0.88212959163057703,0.36596057354918066,0.49712977604142627
adults_anonymized_k11_equal.csv,0.89956711659407085,0.35256486452982172,0.48770557222278288
adults_anonymized_k15_emph_age.csv,0.8620551970075141,0.36503081785004332,0.49061439781419097
adults_anonymized_k15_emph_race.csv,0.79388912706684223,0.30317844108847386,0.438787566
adults_anonymized_k15_equal.csv,0.93991773919531296,0.37573378397744339,0.50952803426970972
adults_anonymized_k19_emph_age.csv,0.89103456976415552,0.41456675874729321,0.56075147162004024
adults_anonymized_k19_emph_race.csv,0.8812016063089434,0.42801917559998204,0.56892270801260114
adults_anonymized_k19_equal.csv,0.832085484864584,0.38345654465544049,0.48661640578672288
adults_anonymized_k23_emph_age.csv,0.90978085443556012,0.32855449315066082,0.45972931952288443
adults_anonymized_k23_emph_race.csv,0.92413238199798686,0.36263969249408085,0.50170914263321009
adults_anonymized_k23_equal.csv,0.81763224017594638,0.38882912830828664,0.51007493657025038
adults_anonymized_k27_emph_age.csv,0.91235398374414456,0.3810068981342683,0.51531943955912207
adults_anonymized_k27_emph_race.csv,0.85686840336555536,0.39477223013005874,0.51939604720324917
adults_anonymized_k27_equal.csv,0.82671951543187183,0.33196996419054181,0.44066523075341857
adults_anonymized_k31_emph_age.csv,0.95530824820283633,0.3970558194106078,0.55672445056233799
adults_anonymized_k31_emph_race.csv,0.86954889874343255,0.27533303763202155,0.3830129955048257
adults_anonymized_k31_equal.csv,0.83261704787849822,0.36065120374465121,0.48468349983391884
adults_anonymized_k35_emph_age.csv,0.98684062759414226,0.38810902674411751,0.54461269131553103
adults_anonymized_k35_emph_race.csv,0.94576546956489715,0.25042996846341115,0.34512829941342738
adults_anonymized_k35_equal.csv,0.92615203218968156,0.3847855191052646,0.52230784217319859
adults_original_dataset.csv,0.88637146112247012,0.38025496984813728,0.52411024487005764
