dataset,precision,recall,f1
adults_anonymized_k03_emph_age.csv,0.64415586473166764,0.61421653292702982,0.62882341153311216
adults_anonymized_k03_emph_race.csv,0.64107627262377165,0.60960752684390573,0.62492854784865925
adults_anonymized_k03_equal.csv,0.76542620128681771,0.74537472887940925,0.75526308646795504
adults_anonymized_k07_emph_age.csv,0.64164817118503925,0.58795808060249211,0.61361371414471222
adults_anonymized_k07_emph_race.csv,0.64819997806329011,0.59259900132669963,0.61913038611678906
adults_anonymized_k07_equal.csv,0.75126483797697508,0.72044318490534187,0.73552769364217452
adults_anonymized_k100_emph_age.csv,0.78470352567803991,0.60804956704228641,0.68514489296400261
adults_anonymized_k100_emph_race.csv,0.78073165881999151,0.60430346515633349,0.68126697395717595
adults_anonymized_k100_equal.csv,0.77082997799835185,0.68911229381867023,0.72766785890066887
adults_anonymized_k11_emph_age.csv,0.68260523041876575,0.593494985093313,0.6349245121895617
adults_anonymized_k11_emph_race.csv,0.68139858258240671,0.59402520333494813,0.634699340650971
adults_anonymized_k11_equal.csv,0.75613034946067592,0.71477401708620203,0.73486217637539897
adults_anonymized_k15_emph_age.csv,0.70855625100267239,0.59647806989394314,0.64767221119849028
adults_anonymized_k15_emph_race.csv,0.70639067664474797,0.5999274227652498,0.64879149738305786
adults_anonymized_k15_equal.csv,0.75867660900091527,0.71169023192185044,0.73442474312223405
adults_anonymized_k19_emph_age.csv,0.72832653523072133,0.60281125786766232,0.65963654147869322
adults_anonymized_k19_emph_race.csv,0.7316525252612367,0.60582833439861994,0.66281044937435685
adults_anonymized_k19_equal.csv,0.76627897014404589,0.7113258291432546,0.73777442610280575
adults_anonymized_k23_emph_age.csv,0.74002255680606921,0.60562967015383207,0.66610105941166364
adults_anonymized_k23_emph_race.csv,0.72885415438257206,0.60423677850271984,0.6607087215989591
adults_anonymized_k23_equal.csv,0.77144143351165595,0.71371261349259585,0.74145284586767901
adults_anonymized_k27_emph_age.csv,0.75214098713496413,0.60536429727565011,0.67080321817216759
adults_anonymized_k27_emph_race.csv,0.74670234530161983,0.60513264138054113,0.6684834146239923
adults_anonymized_k27_equal.csv,0.76540915550984823,0.70496008911482155,0.73393194679512563
adults_anonymized_k31_emph_age.csv,0.75574403120729383,0.60373973873953868,0.67121489179378491
adults_anonymized_k31_emph_race.csv,0.74902793352275476,0.60470142006964955,0.66913407135718883
adults_anonymized_k31_equal.csv,0.76626530169680251,0.70413136347611105,0.73387372576185883
adults_anonymized_k35_emph_age.csv,0.7610273669869636,0.60423807530976104,0.67360605011605157
adults_anonymized_k35_emph_race.csv,0.76098839983650524,0.60552999184989742,0.67439729947905547
adults_anonymized_k35_equal.csv,0.77353317205173899,0.70645254917096667,0.73845872701520743
adults_original_dataset.csv,0.86259865376299916,0.83694709862503291,0.84957285307689911
